1,12,0,2,0,2,0,2,0,2,0,2,0,0
2,12,0,2,0,0,2,0,2,0,0,2,0,0
3,12,0,2,0,0,0,2,0,2,0,2,0,0
4,12,0,2,0,0,0,2,0,2,0,2,0,0
5,12,2,2,0,2,0,0,0,0,0,0,2,0
6,12,2,2,0,2,2,2,0,0,0,2,2,0
7,12,2,2,0,2,0,2,0,0,0,2,0,0
8,12,0,0,0,2,0,2,0,0,0,2,0,0
9,12,2,0,0,0,0,2,0,0,0,2,0,0
10,12,2,2,0,2,2,0,0,0,0,2,0,0
11,12,0,2,0,2,0,2,0,0,0,0,0,0
12,12,0,0,0,2,2,2,0,0,0,2,2,0
13,12,0,0,0,0,2,2,0,2,0,2,0,0
14,12,2,0,0,2,0,2,0,0,0,0,0,0
15,12,2,0,0,0,0,2,0,2,0,2,2,2
16,12,2,2,0,2,2,0,0,0,0,0,2,0
17,12,0,2,0,2,0,0,0,0,0,2,0,0
18,12,0,0,0,0,2,2,0,0,0,2,0,0
19,12,2,0,0,0,0,2,0,2,0,2,2,0
20,12,2,2,0,0,0,2,0,0,0,0,0,0
