1,12,2,0,0,2,2,2,0,0,0,2,2,0
2,12,0,0,0,2,0,0,0,0,0,0,2,2
3,12,2,2,0,2,0,0,0,2,0,2,0,0
4,12,0,0,0,2,0,2,0,0,2,0,0,0
5,12,0,0,0,2,0,2,0,0,0,2,0,0
6,12,0,0,0,2,0,2,0,2,0,0,2,2
7,12,2,2,0,0,0,0,0,2,0,2,2,0
8,12,0,0,0,2,0,2,0,2,0,2,0,0
9,12,0,0,0,2,2,0,0,0,0,2,0,0
10,12,2,0,0,2,0,2,0,0,0,2,0,2
11,12,2,2,0,2,0,2,0,0,0,0,2,0
12,12,2,0,0,0,0,0,0,2,0,2,0,0
13,12,2,2,0,0,0,2,0,2,0,2,2,0
14,12,2,0,0,2,0,0,0,2,0,2,2,0
15,12,0,2,0,0,0,2,0,0,0,0,2,0
16,12,2,0,0,2,0,0,0,2,0,2,2,2
17,12,2,2,0,0,2,2,0,0,0,2,2,0
18,12,2,2,0,2,0,2,0,0,0,2,0,0
19,12,2,2,0,2,2,2,0,0,0,2,0,0
20,12,2,2,0,2,0,2,0,0,0,2,2,2
21,12,2,2,0,2,0,2,0,2,0,0,0,0
